lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
115,2,107.41,12,29,4,2,0,0,3,1
164,0,100.0,10,2,3,2,0,0,0,1
16,3,165.0,9,5,4,1,2,0,5,1
129,0,132.3,10,10,4,5,1,0,3,0
4,0,121.0,5,31,2,1,0,0,0,1
9,2,114.5,9,7,4,1,1,0,0,1
49,1,65.75,2,22,4,3,1,3,0,1
104,0,102.3,4,28,4,3,0,0,0,0
386,1,115.0,10,23,3,0,2,1,0,0
2,0,105.0,12,21,2,1,0,0,4,1
236,0,90.95,9,3,3,2,2,0,3,1
1,0,75.0,12,15,2,1,0,0,0,1
1,0,102.6,9,30,3,2,0,0,0,1
292,0,115.0,7,21,3,2,0,1,0,0
146,0,95.0,4,24,3,0,2,0,0,0
338,1,90.67,10,7,3,2,1,0,0,1
35,1,81.9,3,8,4,5,2,0,0,0
26,1,139.0,10,21,4,2,0,0,0,1
18,3,124.25,8,28,4,2,2,0,0,1
117,1,105.3,5,5,4,3,0,0,0,1
2,0,100.0,9,11,2,2,0,0,0,1
240,1,95.63,9,3,4,2,2,0,0,0
20,0,80.0,3,9,3,3,0,0,0,1
20,1,156.0,6,28,4,2,0,0,3,0
135,1,126.0,7,5,4,2,0,0,0,1
54,1,111.0,10,30,4,4,2,0,3,0
122,0,116.1,6,9,4,3,0,3,0,0
117,0,99.45,4,20,4,4,0,0,3,0
123,0,70.73,4,30,4,5,2,0,0,1
11,1,87.01,9,6,4,3,0,3,0,1
0,0,89.0,3,27,4,0,1,3,0,1
0,3,129.0,8,30,4,3,0,3,0,1
117,1,145.8,9,16,4,2,1,0,0,0
1,0,95.0,9,20,0,1,0,0,0,1
37,0,95.0,10,13,3,3,0,0,0,1
34,0,111.96,10,26,3,4,1,1,1,1
45,1,162.79,9,12,4,3,1,0,0,1
92,1,76.5,7,4,4,1,2,0,0,0
65,1,104.0,11,18,4,2,1,0,0,1
278,2,139.9,7,23,4,1,2,0,0,0
17,1,102.0,11,11,4,5,2,0,0,0
287,0,100.3,9,29,4,3,1,0,0,0
72,0,78.15,3,19,4,1,0,0,1,0
34,1,134.1,8,15,4,2,1,3,0,1
193,1,90.95,7,25,4,3,1,0,0,1
91,0,126.9,8,21,4,0,2,0,0,1
58,0,91.0,1,27,3,2,0,0,0,1
48,2,97.2,11,4,4,2,0,0,0,1
56,1,100.67,11,11,4,2,1,0,0,0
2,3,123.5,8,28,4,2,0,0,0,1
83,2,120.15,11,9,4,4,2,3,0,1
53,2,79.2,12,16,4,1,0,3,0,1
4,0,67.0,3,22,2,1,0,0,0,1
219,0,76.67,9,4,3,2,1,0,0,1
90,2,96.3,4,12,4,3,0,0,0,1
172,1,137.7,8,11,4,3,0,0,3,0
130,0,159.3,6,9,4,2,0,0,3,0
18,1,137.57,9,11,4,1,2,1,3,1
163,0,100.0,6,5,3,2,2,0,0,0
110,0,120.0,10,9,3,0,1,0,0,1
63,0,71.0,1,19,3,2,0,0,0,1
0,1,129.0,6,21,4,2,0,3,0,1
4,0,88.0,3,7,3,3,1,1,0,1
83,0,0.0,12,17,1,0,0,0,0,1
185,1,124.46,9,3,4,5,2,0,0,0
24,0,120.27,4,10,4,3,2,0,3,0
79,0,125.38,4,28,4,3,1,0,3,1
2,1,85.0,7,25,2,1,1,0,0,1
240,0,80.75,10,27,4,3,1,3,0,0
71,0,115.6,6,1,3,4,1,0,3,0
12,0,109.33,3,2,4,3,0,0,3,0
115,0,60.0,2,27,3,3,2,0,0,0
22,1,104.0,11,27,4,0,1,0,0,1
7,1,126.67,10,29,4,1,2,3,0,0
12,1,160.0,10,16,4,0,1,0,0,1
5,2,189.43,4,26,4,3,0,0,5,1
3,1,121.0,8,7,4,0,1,0,0,1
128,0,85.5,8,28,4,0,2,3,0,1
168,0,90.95,7,7,4,4,2,0,0,0
6,0,65.0,10,12,2,0,1,0,0,1
2,0,175.0,10,10,4,3,1,0,3,1
84,0,90.95,4,8,4,2,2,0,0,0
56,0,120.0,6,8,3,1,0,0,0,1
5,1,98.0,5,4,2,1,0,0,0,1
72,1,116.27,10,24,4,3,1,0,5,1
245,0,110.0,7,6,3,4,2,0,0,0
125,0,94.5,5,6,4,2,0,3,0,0
132,0,90.95,6,10,3,3,2,0,3,1
1,0,60.0,2,28,3,1,2,0,0,0
3,0,139.0,3,25,4,2,0,3,0,1
148,1,112.2,8,1,4,4,1,0,3,0
3,0,95.0,6,24,3,2,0,0,0,1
7,1,240.0,8,6,4,1,0,0,5,1
8,0,69.5,1,13,4,3,0,3,0,1
0,1,79.0,5,8,4,0,1,3,0,1
13,0,152.67,6,2,4,3,0,0,3,0
69,0,120.0,6,12,3,4,2,0,0,0
124,1,88.76,6,30,4,2,0,0,1,1
60,1,123.3,9,3,4,1,1,0,3,0
0,1,155.0,9,21,4,3,1,0,3,1
153,2,80.1,10,27,4,1,0,3,0,0
17,1,136.0,8,19,4,2,0,0,0,0
195,0,121.5,8,13,4,1,0,0,0,0
25,0,126.0,6,12,4,1,2,0,3,0
75,2,135.0,10,14,4,5,2,0,0,0
75,1,52.85,11,16,4,2,1,0,0,1
80,0,72.25,7,24,3,2,2,0,0,1
151,0,71.0,1,19,3,3,0,0,0,1
30,0,187.04,6,12,4,1,2,0,6,0
166,0,85.01,7,24,3,2,2,1,0,0
125,1,72.25,12,25,4,1,0,0,0,1
99,0,80.0,2,19,2,1,0,0,0,0
0,0,75.0,3,8,2,1,0,0,3,1
148,0,100.8,6,2,4,3,0,0,0,1
155,1,94.5,8,21,4,0,1,3,0,1
16,0,111.0,5,29,4,0,1,0,0,0
160,0,90.0,4,27,3,4,2,0,0,0
105,0,75.0,10,12,3,3,0,0,0,1
17,1,97.5,8,29,4,4,2,0,0,0
1,0,112.0,10,25,4,1,0,3,0,1
54,1,111.11,6,10,4,2,1,0,3,1
1,1,101.0,1,30,4,1,1,0,0,1
177,0,100.0,6,3,3,2,0,0,0,0
179,2,112.5,7,27,4,2,0,0,0,0
99,0,81.0,2,19,2,1,0,0,0,1
0,0,109.0,10,5,4,0,1,0,0,1
0,0,100.0,10,15,3,2,0,0,0,1
23,0,105.0,9,4,4,1,0,0,0,1
110,0,70.0,12,9,3,4,0,0,0,1
38,1,58.0,10,1,3,3,2,0,0,1
0,0,62.0,10,30,3,5,2,0,0,1
38,2,118.0,11,4,4,2,1,0,3,1
8,1,155.0,10,28,4,2,1,0,3,0
35,1,97.4,12,2,4,2,2,0,0,1
44,1,78.49,3,13,4,2,2,0,0,0
81,1,65.0,3,25,3,2,1,0,0,1
13,2,95.0,6,19,3,0,2,0,0,1
13,0,140.0,11,8,4,1,0,3,0,1
64,0,92.48,9,14,3,4,1,0,0,1
266,0,73.95,12,26,4,3,1,0,0,0
59,0,168.3,9,24,4,1,1,0,3,0
40,0,76.92,6,21,4,1,0,0,0,0
81,3,117.9,8,14,4,2,2,0,0,1
77,0,68.85,3,16,4,4,1,3,0,1
5,2,166.5,12,2,4,2,0,0,3,1
4,1,155.6,8,26,3,2,1,0,3,1
122,2,116.1,6,16,4,3,0,3,0,1
50,0,241.59,5,14,4,4,2,0,1,0
12,1,208.0,3,24,4,3,1,1,3,1
2,1,205.0,9,30,4,1,0,0,3,1
39,1,81.0,2,26,4,1,0,3,0,1
88,1,117.0,5,3,3,3,0,1,0,1
37,1,74.8,12,14,4,4,0,0,0,1
162,0,60.0,9,17,3,3,0,0,0,0
100,1,140.0,9,28,3,4,0,1,0,1
28,2,161.43,3,29,4,3,0,0,0,1
28,0,74.8,12,20,4,5,0,0,0,0
42,0,75.56,2,18,4,3,2,0,0,0
53,0,77.04,8,27,3,1,2,0,0,0
139,1,124.5,5,21,4,1,2,0,3,0
70,0,186.3,4,20,4,1,0,0,5,0
104,0,65.0,12,3,3,3,0,0,0,1
188,0,130.0,6,15,3,2,0,0,0,0
73,1,75.0,12,5,3,4,1,0,0,1
20,0,116.0,11,22,4,1,0,0,0,1
60,1,41.76,4,9,3,3,2,0,0,1
41,2,96.9,10,16,4,2,1,0,0,1
71,0,110.5,10,22,3,1,1,0,3,0
1,1,88.0,6,13,4,0,1,3,0,1
140,0,146.7,8,12,4,2,0,0,3,0
14,0,76.0,11,25,2,1,0,0,0,1
22,0,139.0,8,7,4,0,2,3,0,1
0,1,65.0,3,9,2,1,0,0,0,1
51,0,139.28,9,3,4,2,2,0,3,0
20,0,85.0,10,16,3,0,2,0,0,1
22,2,196.0,7,24,4,1,2,0,3,1
273,0,109.0,7,17,4,2,0,1,0,0
15,3,115.0,9,17,4,1,0,3,3,1
72,0,159.3,8,29,4,1,1,0,3,0
20,1,99.0,1,21,4,2,0,0,3,1
85,0,88.4,11,24,4,3,1,0,0,0
81,1,85.5,4,10,4,0,2,3,0,1
0,0,0.0,12,10,1,1,0,0,6,1
36,1,177.77,9,24,4,5,2,0,5,1
99,2,269.3,7,22,4,2,1,0,6,0
23,0,109.0,1,2,3,1,2,1,0,1
1,0,65.0,9,2,2,2,0,0,0,1
213,0,130.0,6,7,3,3,0,0,0,0
21,0,194.8,8,19,4,3,2,1,0,1
28,1,108.42,6,14,4,3,0,0,3,1
82,1,149.4,9,15,4,3,0,0,3,0
50,0,142.2,9,2,4,2,0,0,3,0
186,1,105.3,7,18,4,2,1,0,0,0
1,0,60.0,2,28,4,1,2,0,0,0
192,0,95.0,6,24,3,2,0,0,0,1
3,2,102.0,3,3,4,3,2,0,0,1
100,0,130.5,7,3,4,2,2,0,0,1
146,0,75.0,12,29,3,3,0,0,0,1
303,0,78.0,8,19,3,3,2,0,0,0
78,0,105.61,12,26,4,3,1,0,3,0
180,0,70.0,10,16,3,1,0,0,0,0
36,0,85.5,5,21,3,1,2,0,0,1
48,0,73.51,10,2,4,2,1,0,0,1
40,0,150.3,4,1,4,2,1,0,3,0
0,1,95.67,11,20,2,5,2,0,0,1
53,0,80.2,2,27,4,4,2,0,0,1
1,0,95.0,6,22,0,3,0,0,0,1
221,0,80.0,8,12,4,1,0,0,0,0
41,0,107.1,6,28,4,2,0,3,0,0
47,0,85.0,8,22,3,3,1,0,0,1
30,0,99.0,4,13,4,4,0,3,0,0
433,0,70.0,9,8,3,3,0,0,0,0
66,0,75.0,10,9,4,2,1,0,0,0
36,1,135.9,8,19,4,3,2,0,0,1
6,0,92.0,2,22,4,2,1,0,0,1
15,0,58.0,12,19,3,2,2,0,0,1
63,2,80.75,10,19,4,4,1,0,0,0
8,0,87.0,8,14,3,2,0,1,0,1
55,0,0.0,4,6,4,1,0,1,0,1
4,1,116.0,9,22,3,3,0,0,0,1
53,0,68.0,11,14,3,3,1,0,0,1
0,2,45.0,4,28,3,1,0,0,0,1
4,0,109.0,8,1,4,1,1,3,0,0
65,1,72.09,10,30,4,0,1,3,0,0
14,1,98.67,10,30,3,2,1,0,3,1
2,1,79.0,2,13,4,1,0,3,0,0
8,1,88.0,2,16,4,2,0,3,0,1
59,2,89.25,10,15,4,2,0,0,0,1
303,1,78.0,8,19,3,3,2,0,0,1
23,0,145.0,7,5,4,2,0,0,0,0
89,0,75.0,5,9,3,2,1,0,0,1
157,1,101.58,7,11,4,3,1,0,0,0
39,2,98.94,2,8,3,1,1,0,0,1
107,0,117.28,11,6,4,2,2,0,3,1
43,0,106.8,3,17,4,3,0,0,3,1
160,0,80.1,10,29,4,1,0,3,0,0
180,1,100.0,5,2,3,1,1,0,0,1
176,0,125.1,9,8,4,3,0,0,0,0
39,0,40.67,3,4,3,2,1,0,0,1
37,1,99.9,6,21,4,3,0,0,0,1
69,1,162.3,8,27,4,1,2,0,3,0
5,0,110.0,9,12,0,1,1,0,3,0
39,2,177.3,4,11,4,1,1,0,5,1
67,1,104.55,11,10,4,2,0,0,0,0
200,0,90.0,10,23,3,0,2,1,0,1
322,0,80.0,5,19,3,3,1,0,0,0
8,1,189.0,8,8,4,1,1,1,0,0
301,0,52.0,11,18,3,2,0,0,0,0
257,0,80.0,7,1,3,2,0,1,0,1
42,1,97.02,10,2,4,1,2,0,0,1
0,0,135.0,12,31,4,1,0,3,0,1
91,1,118.8,7,13,4,4,0,0,3,1
28,0,171.87,10,8,4,1,1,0,4,1
276,0,95.0,9,22,3,3,0,0,0,0
31,0,103.05,8,28,4,0,2,3,0,1
43,1,88.4,12,8,4,3,1,0,0,1
46,2,77.35,3,10,4,3,2,0,0,1
52,0,67.0,10,13,2,1,0,0,0,1
44,0,96.3,6,18,3,1,1,0,3,1
174,0,70.0,10,10,4,1,1,0,0,0
15,0,65.0,10,22,2,1,0,0,0,1
1,1,72.38,12,6,4,2,0,0,0,1
314,0,75.0,10,12,4,3,0,0,0,0
141,1,163.8,9,23,4,2,0,0,3,1
224,0,65.0,10,2,3,2,1,0,0,1
26,1,117.0,4,21,4,1,0,0,0,1
141,0,85.0,11,27,4,2,2,0,0,1
78,0,100.0,3,25,3,2,1,0,0,0
60,0,75.0,3,20,4,2,2,0,0,0
105,0,84.0,1,25,3,4,1,0,3,1
64,2,149.4,9,15,4,3,0,0,3,1
28,1,51.6,11,17,3,3,0,0,0,1
36,3,159.3,5,1,4,2,2,0,3,1
7,1,132.33,6,29,4,3,0,3,0,1
68,2,137.7,7,23,4,2,2,0,3,1
80,2,126.0,11,18,4,2,1,0,3,1
102,0,101.5,10,16,3,2,0,1,0,0
0,0,83.5,10,25,3,0,2,1,0,1
17,0,75.0,1,22,4,3,2,3,0,1
94,0,149.7,7,28,4,3,0,0,3,1
90,1,51.71,3,20,4,3,2,3,0,1
3,2,173.5,7,12,4,2,0,0,0,1
142,1,96.3,7,4,4,0,1,0,0,1
58,1,93.6,12,9,4,2,0,0,0,1
14,1,139.0,2,14,4,5,2,0,3,1
4,1,112.0,5,21,3,1,1,1,0,1
37,2,144.9,8,18,4,3,0,0,0,1
48,1,138.6,12,23,4,2,1,0,3,1
1,0,92.0,4,6,3,1,0,1,3,1
10,0,110.0,9,26,0,3,1,0,3,1
13,1,87.78,10,25,4,3,0,3,0,1
63,0,112.59,8,3,4,3,0,3,0,0
2,1,60.83,2,13,4,1,0,3,0,1
61,1,75.0,11,23,3,3,0,0,0,1
18,0,67.0,12,11,2,1,2,0,0,1
9,1,69.5,1,13,4,12,4,3,0,1
79,0,150.45,5,16,4,3,1,0,0,0
73,0,88.0,11,26,4,1,0,3,0,0
77,0,77.35,3,22,4,5,0,3,0,1
41,1,78.54,10,14,4,4,0,0,3,1
0,0,65.0,10,26,2,0,1,0,0,1
14,1,85.0,2,16,4,1,0,0,0,1
65,0,139.5,7,12,4,2,0,0,3,1
332,2,77.23,9,22,4,3,1,0,0,1
14,0,125.2,4,7,4,3,2,0,3,0
3,0,120.0,9,19,2,1,1,0,0,0
1,0,79.0,11,14,2,1,0,0,0,1
40,0,127.16,8,28,4,5,2,0,0,1
175,0,112.63,8,31,4,4,0,0,0,0
7,0,113.6,9,16,3,2,0,0,0,1
245,0,75.0,6,17,3,2,0,0,0,0
193,0,160.2,12,29,4,3,0,0,5,1
44,0,95.4,9,21,4,1,1,0,0,1
37,1,108.8,12,27,4,4,0,0,0,1
121,1,88.4,12,24,4,3,2,0,0,1
3,0,79.0,3,21,2,0,1,0,0,1
77,0,129.6,7,7,4,3,1,0,3,0
173,0,96.9,8,22,3,1,1,0,0,1
64,0,130.0,5,17,2,2,0,0,0,1
183,2,80.1,10,29,4,1,2,3,0,0
6,1,154.0,9,9,4,2,2,0,0,0
35,1,75.0,10,26,3,2,1,0,3,1
1,1,159.0,9,15,4,1,0,3,0,1
22,0,115.0,10,5,3,2,0,0,0,1
4,0,91.0,2,5,4,2,2,0,0,0
83,2,210.6,6,10,4,2,1,1,3,1
140,0,70.0,12,29,3,5,0,0,0,1
171,1,105.3,7,14,4,3,0,0,0,0
115,0,76.0,2,27,3,2,2,0,0,1
124,0,96.56,8,7,3,3,2,0,3,1
37,1,84.45,1,12,4,2,0,0,3,1
30,0,85.0,10,27,3,3,0,0,0,1
37,0,164.25,8,17,4,1,0,1,0,0
198,0,90.0,9,9,3,2,1,0,0,0
165,2,123.3,10,27,4,3,1,0,3,0
39,1,77.5,3,4,4,2,0,0,0,1
79,2,126.0,12,9,4,2,1,0,3,1
19,0,130.0,5,2,4,2,1,0,0,1
29,1,102.8,4,15,4,3,2,0,0,1
134,2,76.5,8,13,4,3,0,0,0,1
63,0,193.68,11,7,4,2,1,0,5,1
5,0,100.0,9,20,2,0,2,0,0,1
8,0,86.0,3,2,4,1,0,0,0,1
103,2,80.75,6,27,3,1,1,0,0,1
31,0,96.3,6,17,3,5,2,0,3,1
62,1,101.18,9,28,4,1,0,0,0,1
12,0,95.0,2,15,4,3,1,0,0,1
76,0,120.0,10,10,3,0,1,0,0,0
127,0,90.0,4,28,3,3,1,0,0,1
167,1,60.0,3,13,3,2,2,0,3,1
110,1,120.3,8,1,4,5,1,0,3,1
18,0,129.0,6,12,4,0,2,0,0,1
418,0,75.0,9,26,3,2,1,0,0,0
123,0,93.9,4,29,4,2,1,0,0,0
56,0,55.38,3,2,3,4,1,0,0,1
37,1,120.7,11,16,4,4,2,1,0,1
17,2,157.5,12,2,4,2,0,0,3,1
68,2,132.3,10,18,4,3,0,0,3,1
77,1,126.9,5,8,4,2,2,0,0,1
110,0,94.5,7,25,4,1,2,1,0,0
3,1,84.7,10,25,4,1,0,3,0,1
10,0,120.0,11,10,4,1,0,0,0,0
87,0,141.9,10,23,4,1,2,0,3,1
45,0,67.0,11,28,2,0,1,0,0,1
12,0,111.35,5,30,2,3,1,0,0,1
4,1,93.17,4,15,4,2,1,0,0,1
8,0,160.0,11,5,3,1,0,0,0,1
45,2,177.3,4,11,4,2,1,0,5,1
184,1,65.29,10,17,4,6,2,0,1,1
83,0,83.59,5,18,4,2,0,3,0,1
1,0,81.0,2,20,4,1,2,3,0,1
44,1,80.26,3,10,4,3,2,0,0,1
19,1,77.0,1,21,4,1,0,3,0,1
18,0,106.0,4,10,4,0,2,3,0,0
50,1,140.4,5,17,4,3,0,0,3,1
3,1,75.0,1,5,4,1,0,3,0,1
5,1,136.0,4,22,4,2,1,0,3,1
20,1,95.0,9,18,3,2,2,0,0,1
8,2,128.5,6,20,4,3,1,0,0,1
146,0,85.0,12,29,3,3,0,0,0,1
34,1,98.1,5,22,4,1,2,3,0,1
104,0,90.95,10,23,3,1,2,0,3,1
32,0,159.3,3,24,4,3,0,0,3,0
90,3,127.71,12,26,4,3,1,0,3,1
3,0,76.8,2,18,3,3,0,0,0,1
31,0,117.3,3,3,4,3,1,0,3,1
8,0,119.0,9,1,4,1,0,3,0,1
41,0,110.0,9,4,3,1,0,1,0,1
0,0,0.0,6,16,1,1,0,0,0,1
91,0,133.2,8,6,4,1,2,0,3,1
24,1,124.0,5,2,4,0,1,3,0,1
3,0,120.0,6,10,3,2,0,0,0,1
258,3,73.41,12,28,4,5,2,0,1,1
68,2,116.45,4,1,4,2,2,0,3,1
24,0,55.0,12,4,3,2,0,0,0,1
160,1,129.0,6,17,4,2,1,0,3,0
40,2,60.48,11,12,4,3,2,3,0,1
43,1,92.4,11,12,4,1,2,3,0,1
22,0,95.0,10,11,3,3,0,0,0,1
18,2,155.0,11,6,4,0,2,0,0,1
4,0,70.0,12,16,3,1,0,0,0,1
30,1,140.4,4,29,4,2,2,0,3,1
5,1,139.13,9,16,4,1,0,0,0,1
186,1,121.8,7,30,4,1,2,0,3,0
22,1,130.0,10,25,4,4,0,0,0,1
1,1,12.0,10,10,3,1,1,0,0,1
24,1,85.0,10,16,3,2,2,0,0,1
38,0,149.4,9,10,4,2,2,0,3,0
72,1,61.21,4,4,4,3,1,3,0,1
0,0,123.0,10,11,4,0,2,0,0,1
53,0,143.1,5,21,4,1,0,0,0,1
33,0,59.0,1,25,2,1,1,0,0,1
79,1,90.95,4,25,3,1,1,0,3,1
4,0,100.0,12,4,3,0,1,0,0,1
206,2,126.9,9,8,4,3,0,0,0,0
28,0,104.0,11,25,4,2,1,0,0,0
79,3,134.55,10,20,4,3,1,0,3,1
3,0,66.0,1,18,2,2,1,0,0,1
176,0,125.1,9,8,3,3,0,0,0,0
28,1,91.63,10,18,4,3,0,3,0,1
84,1,149.18,10,31,4,3,1,1,0,1
32,2,87.78,12,14,4,3,0,0,3,1
35,0,179.01,5,16,4,1,1,0,5,0
33,0,143.1,5,9,4,3,1,0,0,0
8,2,220.0,4,21,4,3,0,0,5,1
13,2,88.4,12,19,4,5,1,0,0,1
97,0,135.9,9,9,4,5,2,0,0,0
28,2,103.4,10,29,4,3,2,3,0,1
180,0,96.3,7,23,4,1,1,0,1,0
1,0,94.5,8,22,3,1,2,1,0,1
29,1,87.0,3,5,3,1,2,0,0,1
80,1,80.33,3,17,4,3,1,0,0,1
11,1,0.0,12,11,1,2,0,0,3,1
18,2,111.75,10,2,4,2,2,0,0,1
188,1,86.75,7,7,4,2,0,0,1,0
1,0,93.0,7,20,3,1,0,0,0,1
10,2,100.38,11,22,4,5,1,0,0,1
320,1,94.95,8,20,4,1,2,0,1,1
0,0,0.0,9,1,1,1,0,0,0,1
115,1,99.45,5,4,4,4,1,0,0,1
280,0,110.0,9,19,3,2,1,0,0,0
101,3,87.67,6,8,4,4,0,0,0,1
71,0,98.0,5,10,3,3,0,1,0,1
27,0,141.0,5,10,4,3,0,0,0,0
349,0,90.0,10,4,3,5,1,0,0,0
47,1,72.36,10,19,3,3,1,0,1,1
50,0,126.9,5,21,4,1,0,0,0,0
73,1,149.4,9,19,4,3,1,0,3,0
8,1,187.55,9,12,4,1,1,0,3,1
66,2,149.4,9,15,4,3,0,0,3,1
9,2,140.0,8,19,4,1,0,0,0,1
15,0,139.0,9,15,4,2,0,3,0,0
58,2,123.3,9,2,4,2,1,0,3,1
44,0,131.58,4,10,4,3,2,0,0,0
2,1,92.0,1,28,4,1,0,0,0,1
45,0,71.1,3,11,4,2,0,0,0,0
0,0,79.0,2,7,4,0,1,3,0,1
17,1,135.0,10,7,4,2,0,3,0,0
184,1,139.5,8,17,4,1,0,1,0,0
71,0,120.0,6,14,3,3,0,0,0,1
3,0,103.0,3,7,4,1,1,0,0,1
77,2,79.2,12,6,4,2,0,3,0,1
230,1,137.0,9,6,4,5,0,0,0,0
60,2,80.1,10,27,4,1,0,3,0,1
0,0,45.0,3,18,3,1,0,0,0,1
21,0,83.2,10,25,4,3,0,3,0,0
76,0,80.75,4,12,4,4,0,3,0,0
5,1,136.0,6,11,4,1,0,0,3,1
19,1,114.73,10,5,4,2,0,0,0,1
18,1,67.22,2,9,4,2,0,0,0,1
118,1,139.5,8,15,4,2,1,0,0,1
81,3,110.8,12,30,4,4,0,0,0,1
120,0,94.5,7,18,4,1,1,3,0,1
233,0,90.0,10,14,3,2,1,0,0,0
18,0,75.99,12,9,4,7,3,3,0,1
29,2,85.0,12,2,2,2,0,0,0,1
12,1,152.0,9,17,4,1,0,0,0,1
4,1,161.0,5,28,4,1,0,0,0,1
71,0,137.53,9,14,3,5,2,0,3,1
136,1,117.29,5,29,4,3,2,0,3,1
181,1,94.5,8,16,4,3,0,3,0,0
0,2,45.0,3,15,3,1,0,0,3,1
55,0,80.0,4,6,3,1,0,0,0,1
204,0,100.0,5,5,4,3,0,0,0,0
126,1,80.75,9,12,3,2,1,0,0,0
3,2,156.0,3,28,4,3,1,0,3,1
56,1,74.8,11,12,4,3,2,3,0,1
36,2,102.6,10,13,4,1,0,3,0,1
74,0,101.5,9,18,3,2,0,1,0,1
28,2,143.45,7,8,4,2,2,0,0,1
239,0,112.2,6,15,3,2,0,1,0,0
346,0,3.0,9,13,4,2,0,1,0,0
77,0,140.4,5,17,4,3,0,0,3,0
108,0,75.76,4,16,4,2,2,0,1,1
137,1,118.8,8,19,4,2,0,0,0,1
118,0,116.1,6,2,4,3,0,3,0,0
206,0,132.77,9,23,4,3,2,1,0,0
0,0,160.0,9,27,2,1,0,0,0,1
23,1,75.0,10,21,3,3,0,0,3,1
133,2,120.7,7,6,4,4,0,0,3,1
22,1,105.64,9,15,4,3,1,0,3,1
60,1,108.9,6,26,4,2,2,0,0,0
173,1,73.37,6,19,4,2,2,0,0,1
4,0,83.93,4,15,4,2,1,3,0,0
185,1,122.4,10,5,4,2,0,0,3,0
15,0,107.5,12,10,4,1,1,0,0,1
73,1,71.52,2,21,4,1,2,0,1,1
100,1,136.0,5,19,4,3,1,0,0,1
166,1,90.95,7,6,4,4,0,0,0,1
46,1,134.78,10,17,4,3,1,0,0,1
1,1,120.0,3,10,4,1,0,0,0,1
37,1,74.8,12,2,4,2,2,3,0,1
37,2,103.35,6,22,4,1,0,0,0,1
35,0,98.1,5,22,4,1,2,3,0,0
13,2,107.0,12,6,4,0,2,0,0,1
34,0,60.0,11,1,3,1,2,0,3,1
15,1,142.6,10,15,4,3,2,0,0,1
2,2,89.0,8,21,4,2,2,3,0,1
29,0,104.73,3,4,4,2,1,0,0,0
79,1,156.6,12,27,4,1,0,0,5,1
200,1,105.4,8,31,4,4,0,0,0,0
26,1,114.0,12,4,4,4,2,0,3,1
2,3,196.0,10,10,4,1,2,0,5,1
45,2,96.3,10,30,4,2,0,0,0,1
320,0,115.0,8,18,3,2,0,1,0,0
0,1,0.0,10,2,1,1,0,0,4,1
211,0,100.0,5,20,3,2,0,0,0,0
221,0,65.0,10,10,3,1,2,0,0,1
38,2,120.91,11,4,4,2,2,0,3,1
5,0,70.84,2,23,4,2,0,0,0,1
60,2,137.7,7,25,4,0,1,0,3,1
303,0,78.0,8,19,4,3,2,0,0,0
178,1,106.25,10,24,3,3,1,1,0,0
